titleid,num_akas
tt0168366,134
tt8185052,132
tt8052676,88
tt0076759,83
tt8187756,77
tt8232202,76
tt0060196,73
tt0080684,71
tt0057012,68
tt0086190,67
tt0088247,65
tt0029583,65
tt0082971,62
tt0071562,62
tt2488496,61
tt0120762,61
tt0058461,61
tt0111161,60
tt0087332,60
tt0055928,60
tt0064116,60
tt0068646,60
tt0367882,59
tt0080339,59
tt0047478,58
tt0121765,58
tt0096874,58
tt0044706,58
tt0028950,58
tt0245429,58
tt0075860,57
tt0052357,57
tt0120915,57
tt0078748,57
tt0064208,56
tt0064757,56
tt0090605,56
tt0015648,56
tt0047396,56
tt0073195,56
tt0095016,56
tt0121766,56
tt1201607,55
tt0067140,55
tt0077687,55
tt2310332,55
tt0066078,55
tt0042876,54
tt0042332,54
tt0059578,54
tt0058751,54
tt0078966,54
tt0047296,54
tt0266543,54
tt0056111,54
tt0065555,54
tt0120587,54
tt1345836,53
tt1790809,53
tt0247082,53
tt0083658,53
tt0050083,53
tt0077869,53
tt2948356,53
tt0058150,53
tt0067355,53
tt0080319,53
tt2278871,53
tt0077402,53
tt0317705,53
tt0120737,53
tt0068638,53
tt0053125,53
tt0038650,53
tt0110357,52
tt0468569,52
tt1217209,52
tt0190332,52
tt1844624,52
tt0053291,52
tt0073486,52
tt0070047,52
tt0424205,52
tt4630562,52
tt0046912,52
tt0312004,52
tt0072271,52
tt0031381,52
tt2527336,52
tt0057076,52
tt0044916,52
tt2452042,52
tt0080749,52
tt0063032,51
tt0892791,51
tt0040522,51
tt0027977,51
tt0095327,51
tt0417741,51
tt0398286,51
