language,count
af,90
ar,609
az,57
be,3
bg,19701
bn,235
bs,243
ca,2063
cmn,3458
cr,1
cs,924
cy,36
da,12
de,860
el,24
en,151012
es,1213
et,11
eu,57
fa,2068
fi,16
fr,21128
fro,1
ga,44
gd,8
gl,122
goh,1
gsw,50
gu,31
he,6312
hi,1982
hr,1430
hu,24
hy,25
id,181
is,2
it,152
iu,1
ja,22
ka,46
kk,3
kn,54
ko,2
ku,1
ky,1
la,62
lt,22
lv,24
mi,4
mk,50
ml,543
mr,51
ms,176
myv,1
nl,643
no,7
nqo,1
pa,45
pl,13
prs,1
ps,5
pt,58
qal,11
qbn,4927
qbo,13
qbp,511
rm,1
rn,1
ro,15
ru,23181
sd,3
sk,322
sl,782
sq,1
sr,3833
st,3
sv,7412
ta,537
te,379
tg,3
th,186
tl,901
tn,2
tr,17143
uk,92
ur,237
uz,5
vi,4
wo,2
xh,5
yi,61
yue,2929
zh,2
zu,11
,3402732
