primarytitle,title_count
Episode #1.1,32419
Episode #1.2,29646
Episode #1.3,27866
Episode #1.4,24977
Episode #1.5,22830
Episode #1.6,21396
Episode #1.7,18292
Episode #1.8,17435
Episode #1.9,15249
Episode #1.10,14541
Episode #1.11,12535
Episode #1.12,11946
Episode #1.13,10708
Episode #1.14,9527
Episode #1.15,9265
Episode #1.16,8956
Episode #1.17,8188
Episode #1.18,8070
Episode #1.19,7888
Episode #1.20,7565
Episode #1.21,6925
Episode #1.22,6791
Episode #1.23,6674
Episode #1.24,6584
Episode #2.1,6381
Episode #1.25,6252
Episode #1.26,6105
Episode #1.27,5776
Episode #1.28,5743
Episode #1.29,5660
Episode #1.30,5554
Pilot,5547
Episode #2.2,5435
Episode #1.31,5302
Episode #2.3,5302
Episode #1.32,5270
Episode #2.4,5150
Episode #1.33,5093
Episode #1.34,5036
Episode #1.35,4996
Episode #1.36,4933
Episode #2.5,4909
Episode #1.37,4858
Episode #1.38,4805
Episode #1.39,4752
Episode #2.6,4710
Episode #1.40,4655
Episode #1.41,4409
Episode #1.42,4377
Episode #1.43,4343
Episode #1.44,4309
Episode #1.45,4266
Episode #1.46,4217
Episode #1.47,4181
Episode #1.48,4157
Episode #1.50,4117
Episode #1.49,4100
Episode #2.7,4020
Episode #1.51,3968
Episode #1.52,3929
Episode #1.53,3851
Episode #1.54,3841
Episode #1.55,3816
Episode #1.56,3783
Episode #2.8,3753
Episode #1.57,3740
Episode #1.58,3728
Episode #1.59,3712
Episode #1.60,3701
Episode #1.61,3620
Episode #1.62,3607
Episode #1.63,3579
Episode #1.64,3555
Episode #1.65,3541
Episode #1.66,3480
Episode #1.67,3457
Episode #1.68,3454
Episode #1.69,3445
Episode #1.70,3435
Episode #1.71,3394
Episode #1.72,3376
Episode #3.1,3366
Episode #1.73,3354
Episode #1.74,3342
Episode #1.75,3335
Episode #1.76,3311
Episode #1.77,3306
Episode #1.78,3280
Episode #1.79,3268
Episode #1.80,3263
Episode #1.81,3175
Episode #2.9,3169
Episode #1.82,3167
Episode #1.83,3140
Episode #1.84,3130
Episode #1.85,3114
Episode #1.86,3086
Episode #1.87,3085
Episode #1.88,3069
Episode #1.89,3062
Episode #1.90,3048
Episode #2.10,3004
Episode #1.91,2973
Episode #1.92,2958
Episode #1.93,2943
Episode #1.94,2921
Episode #1.95,2919
Episode #1.96,2891
Episode #1.97,2873
Episode #1.100,2853
Episode #1.99,2852
Episode #1.98,2844
Episode #3.2,2747
Episode #1.101,2711
Episode #1.102,2701
Episode #3.3,2685
Episode #1.103,2682
Episode #1.104,2668
Episode #1.105,2633
Episode #3.4,2619
Episode #1.106,2607
Episode #1.107,2582
Episode #1.109,2568
Episode #1.108,2567
Episode #1.110,2561
Episode #3.5,2538
Episode #2.11,2511
Episode #1.112,2500
Episode #1.111,2499
Episode #1.113,2477
Episode #1.114,2460
Episode #1.115,2454
Episode #3.6,2433
Episode #1.116,2430
Episode #1.117,2409
Episode #1.118,2399
Episode #2.12,2383
Episode #1.119,2378
Episode #1.120,2367
Episode #1.121,2198
Episode #1.122,2179
Episode #3.7,2170
Episode #1.123,2152
Episode #1.124,2135
Episode #1.125,2128
Episode #2.13,2100
Episode #4.1,2081
Episode #1.126,2064
Episode #3.8,2063
Episode #1.127,2044
Episode #1.128,2035
Episode #1.129,2018
Episode #1.130,2010
Episode #1.131,1946
Episode #1.132,1936
Episode #1.133,1929
Episode #1.134,1921
Episode #1.135,1904
Episode #1.136,1873
Episode #1.137,1855
Episode #1.138,1840
Episode #1.139,1812
Episode #1.140,1804
Episode #3.9,1793
Episode #1.141,1758
Episode #1.143,1739
Episode #1.142,1738
Episode #1.144,1718
Episode #1.145,1714
Episode #2.14,1698
Episode #3.10,1691
Episode #1.146,1691
Episode #4.2,1688
Episode #1.147,1673
Episode #1.148,1665
Episode #1.149,1652
Episode #1.150,1637
Episode #4.3,1626
Episode #2.15,1599
Episode #4.4,1590
Episode #1.151,1556
Episode #4.5,1541
Episode #1.152,1528
Episode #2.16,1523
Episode #1.153,1520
Episode #4.6,1504
Episode #1.154,1502
Episode #1.155,1499
Episode #5.1,1493
Episode #1.156,1458
Episode #3.11,1448
Episode #2.17,1417
Episode #1.158,1417
Episode #1.157,1411
Episode #1.159,1399
Episode #1.160,1392
Episode #3.12,1385
Episode #2.18,1378
Episode #4.7,1354
Episode #2.19,1348
