startyear,count
1874,1
1878,1
1881,1
1883,1
1885,1
1887,45
1888,5
1889,2
1890,6
1891,10
1892,9
1893,3
1894,97
1895,116
1896,837
1897,1352
1898,1774
1899,1785
1900,1840
1901,1753
1902,1806
1903,2667
1904,1831
1905,1701
1906,1860
1907,2480
1908,4274
1909,5419
1910,6413
1911,7667
1912,8502
1913,9613
1914,9031
1915,8464
1916,7003
1917,5541
1918,4697
1919,4078
1920,4476
1921,4199
1922,3584
1923,3022
1924,3076
1925,3330
1926,3219
1927,3305
1928,3280
1929,3365
1930,2964
1931,2951
1932,2941
1933,2798
1934,2839
1935,2785
1936,3198
1937,3453
1938,3299
1939,2936
1940,2499
1941,2441
1942,2362
1943,2120
1944,1950
1945,1929
1946,2386
1947,2842
1948,3440
1949,4721
1950,6188
1951,7344
1952,7932
1953,8685
1954,9946
1955,10881
1956,11546
1957,13138
1958,14084
1959,14438
1960,15706
1961,16069
1962,15330
1963,16954
1964,18388
1965,21619
1966,22517
1967,24192
1968,22493
1969,25835
1970,26029
1971,26920
1972,27089
1973,27766
1974,26222
1975,26604
1976,25930
1977,25134
1978,26271
1979,25828
1980,26983
1981,25941
1982,28913
1983,29052
1984,31293
1985,32906
1986,32966
1987,35157
1988,34786
1989,37837
1990,40378
1991,42502
1992,43239
1993,46963
1994,50788
1995,57607
1996,60538
1997,64339
1998,71841
1999,76918
2000,80031
2001,89452
2002,93687
2003,104854
2004,120575
2005,135870
2006,151182
2007,167158
2008,179735
2009,189578
2010,212481
2011,242410
2012,267061
2013,287224
2014,300007
2015,311862
2016,324897
2017,331336
2018,308778
2019,151485
2020,3931
2021,224
2022,44
2023,7
2024,2
2025,4
2026,1
2027,1
2115,1
,337119
