parenttconst,count_epis
tt0058796,11084
tt0053494,9791
tt1985601,9502
tt0088580,8911
tt0068120,8794
tt0283794,8652
tt0283767,8104
tt0159881,7976
tt0092325,7797
tt0088512,7639
tt0094481,7157
tt0072584,6880
tt0103434,6806
tt0055708,6689
tt0068069,6574
tt0069658,6513
tt0108977,6170
tt0056758,6059
tt0096597,6032
tt0138228,5616
tt0371487,5186
tt6769314,4738
tt0108979,4664
tt0103569,4656
tt1152300,4601
tt0498891,4537
tt2070564,4498
tt0057741,4488
tt0170980,4387
tt0289801,4354
tt0106053,4240
tt0044298,4235
tt0081857,4047
tt2810310,3963
tt0374364,3884
tt0057731,3856
tt0383792,3829
tt4979824,3815
tt0072506,3776
tt0270116,3774
tt0241383,3767
tt0112004,3734
tt0096636,3659
tt0419321,3645
tt0115147,3637
tt0381791,3631
tt0242750,3600
tt0185819,3584
tt0065272,3578
tt0056752,3353
tt0185049,3352
tt5989884,3305
tt0217211,3295
tt0162076,3255
tt0835962,3233
tt0479846,3220
tt4816922,3190
tt0177446,3123
tt0048845,3090
tt0048860,3059
tt1229032,3007
tt0262152,2975
tt0320037,2971
tt0185065,2957
tt0098911,2954
tt0853076,2940
tt0167515,2936
tt7112704,2929
tt0149534,2901
tt0303561,2899
tt3037756,2859
tt0069629,2828
tt0379623,2825
tt0439344,2807
tt0403813,2796
tt0247094,2786
tt0123366,2774
tt0106052,2760
tt0115227,2759
tt1708446,2748
tt0376378,2746
tt0447759,2731
tt0463397,2647
tt0391666,2610
tt1500570,2594
tt0996905,2583
tt0166442,2579
tt0231035,2573
tt0144724,2557
tt1271991,2518
tt0386155,2515
tt0424586,2501
tt0181261,2475
tt0284798,2456
tt0939787,2426
tt0062595,2411
tt0084987,2404
tt1111847,2372
tt0315727,2371
tt0827947,2359
tt0380086,2358
tt0073991,2348
tt6296212,2335
tt0329824,2322
tt1144839,2275
tt8483276,2260
tt0044265,2260
tt0423713,2251
tt2103372,2249
tt0426701,2246
tt0442646,2234
tt0175383,2191
tt0437729,2186
tt0154053,2185
tt1863997,2182
tt0284767,2162
tt0382449,2149
tt0170968,2145
tt0086793,2137
tt4151188,2130
tt0139803,2125
tt1095213,2113
tt0369117,2109
tt0945531,2074
tt1981471,2071
tt2190581,2054
tt0795129,2052
tt0395043,2051
tt1112587,2046
tt0375435,2044
tt0305056,2039
tt1934806,2005
tt0472642,2004
tt8998028,1973
tt0930831,1965
tt1178692,1951
tt8306978,1941
tt3109150,1940
tt1740718,1934
tt7380262,1934
tt0420472,1895
tt0844203,1894
tt0964948,1881
tt2163227,1879
tt1092504,1863
tt0414740,1849
tt1746642,1843
tt1261356,1837
tt0278212,1834
tt0783392,1828
tt0199257,1822
tt0321019,1820
tt0069576,1817
tt0484918,1813
tt1084172,1811
tt3667404,1810
tt3840030,1787
tt3827800,1787
tt2234701,1785
tt3550730,1783
tt0072559,1774
tt0970821,1774
tt0270764,1771
tt0407358,1766
tt0375434,1765
tt0799583,1762
tt0184090,1756
tt0439389,1750
tt0055688,1748
tt0083441,1730
tt0088554,1728
tt1147366,1723
tt8960568,1723
tt1533783,1719
tt3166422,1718
tt0065346,1703
tt1119642,1693
tt2155153,1684
tt0407419,1677
tt0247880,1658
tt0049993,1651
tt1517109,1638
tt1240986,1635
tt0166034,1634
tt0831821,1629
tt1725140,1615
tt0361246,1612
tt1132615,1602
tt7370554,1599
tt0059995,1593
tt1280627,1591
tt1441404,1569
tt0356286,1562
tt0372056,1559
tt0159879,1555
tt3230032,1553
tt0088550,1547
tt1025970,1545
tt0372101,1541
tt0063951,1540
