seasonnumber,count_epis
1,1976566
2,373509
3,210127
4,139484
5,100574
6,76864
7,60070
8,47339
9,36231
10,29475
11,24360
12,20840
13,18595
14,15917
15,13942
16,13286
17,11884
18,10096
19,9157
20,8708
21,8094
22,8076
23,6905
24,5559
25,5143
26,4743
27,4416
28,4335
29,4417
30,3770
31,3232
32,2172
33,2483
34,1975
35,2065
36,1847
37,1623
38,1701
39,1505
40,1476
41,1033
42,1031
43,890
44,1090
45,834
46,845
47,827
48,576
49,537
50,436
51,465
52,427
53,379
54,385
55,375
56,353
57,309
58,329
59,370
60,231
61,520
62,325
63,275
64,177
65,207
66,163
67,138
68,107
69,120
70,109
71,84
72,181
73,203
74,117
75,74
76,69
77,40
78,26
79,26
80,26
81,26
82,25
83,30
84,25
85,14
86,15
87,16
88,12
89,16
90,26
91,9
92,4
93,9
94,7
95,8
96,12
97,14
98,12
99,15
100,19
101,10
102,10
103,11
104,15
105,17
106,12
107,10
108,13
109,11
110,24
111,16
112,22
113,21
114,16
115,20
116,22
117,23
118,24
119,22
120,23
121,26
122,26
123,25
124,26
125,26
126,26
127,29
128,29
129,28
130,26
131,26
132,26
133,26
134,26
135,24
136,28
137,25
138,26
139,27
140,26
141,25
142,18
143,23
144,18
145,14
146,13
147,13
148,13
149,13
150,13
151,13
152,13
153,13
154,16
155,13
156,13
157,13
158,11
159,15
160,3
161,13
162,12
163,12
164,13
165,12
166,13
167,13
168,13
169,8
170,9
171,7
172,3
173,8
174,5
189,3
190,3
191,5
201,7
1965,3
1966,2
1967,4
1973,1
1980,1
2000,1
2006,8
2007,24
2008,75
2009,70
2010,4
2011,5
2012,7
2013,17
2014,2
2015,10
2016,10
2017,5
2018,11
2019,2
,909764
