nconst,count_by_nconst
nm0438471,15336
nm0914844,13330
nm0438506,12645
nm0251041,12444
nm1916590,10890
nm0912726,9802
nm0318114,8475
nm0068589,8443
nm0022172,8415
nm0275585,8402
nm0871618,7986
nm0435664,7770
nm0068347,7483
nm5744243,7444
nm2798179,7369
nm0734570,7237
nm0554045,7182
nm0756929,7027
nm0054837,7004
nm0647692,6940
nm0068074,6903
nm0001846,6801
nm0573012,6770
nm2276735,6307
nm0001468,6297
nm0836809,6281
nm0683788,6201
nm0565214,6132
nm0480782,6125
nm3813965,6042
nm0163863,5983
nm0276899,5903
nm0633202,5888
nm0022750,5868
nm0739351,5775
nm0723330,5755
nm0903436,5707
nm1597994,5634
nm0672176,5535
nm4779832,5510
nm1667633,5499
nm0417224,5451
nm0960965,5395
nm3486538,5334
nm0403568,5300
nm0005143,5290
nm0001992,5290
nm0403569,5269
nm0763126,5202
nm0939712,5184
nm0042771,5174
nm0786341,5157
nm0512728,5132
nm0737880,5103
nm0006724,5060
nm2255484,4853
nm0308318,4822
nm0808801,4804
nm0640734,4744
nm0888441,4735
nm0229703,4718
nm0787238,4701
nm1865788,4660
nm0106039,4658
nm0729455,4631
nm0925809,4601
nm1939626,4591
nm0163210,4566
nm0722865,4549
nm0089368,4544
nm0744287,4540
nm7006227,4528
nm0142438,4504
nm0100189,4478
nm1853938,4437
nm0535500,4433
nm0235185,4423
nm0624523,4380
nm0848222,4365
nm8996518,4365
nm0734509,4321
nm0005277,4321
nm0273084,4225
nm0170306,4175
nm1216570,4173
nm3599794,4101
nm1862855,4100
nm7207144,4096
nm0341311,4066
nm0306042,4058
nm0898247,4035
nm3052538,4032
nm0192504,3997
nm9115584,3997
nm0107757,3981
nm0129828,3979
nm0637956,3963
nm2941131,3961
nm0741299,3950
nm0206241,3943
nm0713073,3925
nm0555829,3917
nm1941818,3911
nm5744240,3904
nm0708802,3898
nm0591517,3882
nm0715087,3867
nm0053738,3845
nm0961755,3821
nm0496556,3817
nm0525123,3817
nm0306320,3810
nm1628335,3807
nm0136994,3740
nm1930572,3720
nm0136695,3716
nm1202084,3715
nm0609391,3713
nm1840982,3708
nm0757739,3708
nm0162946,3678
nm0721405,3622
nm0009484,3615
nm0808850,3614
nm4576851,3613
nm0612901,3583
nm0757877,3569
nm3064446,3568
nm1568433,3556
nm0164818,3506
nm0662833,3500
nm0356775,3495
nm0103819,3475
nm1003798,3465
nm1171817,3463
nm0575114,3444
nm1115954,3435
nm0141225,3433
nm1618188,3428
nm0239134,3425
nm0453994,3410
nm0001122,3401
nm0015846,3395
nm5744244,3394
nm0136649,3391
nm0004856,3386
nm0261690,3365
nm1394917,3361
nm0422357,3340
nm0194720,3334
nm4395808,3322
nm1245286,3304
nm0024063,3291
nm0411127,3288
nm0115836,3287
nm0057398,3286
nm0002615,3281
nm5782599,3277
nm0879682,3262
nm0576967,3257
nm0537354,3254
nm0265155,3238
nm0390852,3238
nm8408311,3229
nm1754670,3216
nm0096539,3209
nm0147197,3197
nm3575029,3197
nm1055655,3186
nm0579510,3171
nm0523627,3170
nm0764156,3159
nm0717265,3157
nm6908650,3154
nm0576968,3152
nm6584709,3132
nm0004903,3118
nm0743957,3114
nm0970096,3104
nm0036587,3098
nm2380807,3097
nm0535676,3092
nm0466628,3084
nm0758353,3081
nm0519983,3079
nm0105724,3049
nm3771559,3047
nm1386702,3036
nm1444176,3034
nm0239114,3032
nm0000155,3032
nm0195270,3029
nm0905354,3021
nm4337659,3017
nm0393901,3014
nm0198852,3005
nm1347791,3004
nm0603800,2998
nm1637844,2995
nm5203198,2994
